#id,parentId,version,format,JSON,runDays,photoperiod,dayTempHold,dayTemp,nightTemp,humidity,PAR,UV,pH,EC,CO2
tsavas@media.mit.edu~Exp1-Treat1~2016-01-01T00:00:00Z,,,manual,,,,,,,,,0,,,
tsavas@media.mit.edu~Exp2-Treat1~2016-01-01T00:00:00Z,,,manual,,,,,,,,,0,,,
tsavas@media.mit.edu~Exp3-Treat1~2016-01-01T00:00:00Z,,,manual,,,,,,,,,0,,,
tsavas@media.mit.edu~Exp4-Treat1~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,10.67,7,1.9,
tsavas@media.mit.edu~Exp4-Treat2~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,17.45,7,1.9,
tsavas@media.mit.edu~Exp4-Treat3~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,0,7,1.9,
tsavas@media.mit.edu~Exp4-Treat4~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,8.48,7,1.9,
tsavas@media.mit.edu~Exp4-Treat5~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,24,7,1.9,
tsavas@media.mit.edu~Exp4-Treat6~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,0,7,1.9,
tsavas@media.mit.edu~Exp4-Treat7~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,4.12,7,1.9,
tsavas@media.mit.edu~Exp4-Treat8~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,14.06,7,1.9,
tsavas@media.mit.edu~Exp4-Treat9~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,0,7,1.9,
tsavas@media.mit.edu~Exp5-Treat1~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,10.67,7,1.9,
tsavas@media.mit.edu~Exp5-Treat2~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,17.45,7,1.9,
tsavas@media.mit.edu~Exp5-Treat3~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,0,7,1.9,
tsavas@media.mit.edu~Exp5-Treat4~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,8.48,7,1.9,
tsavas@media.mit.edu~Exp5-Treat5~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,24,7,1.9,
tsavas@media.mit.edu~Exp5-Treat6~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,0,7,1.9,
tsavas@media.mit.edu~Exp5-Treat7~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,4.12,7,1.9,
tsavas@media.mit.edu~Exp5-Treat8~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,14.06,7,1.9,
tsavas@media.mit.edu~Exp5-Treat9~2016-01-01T00:00:00Z,,,manual,,,24,24,24,,60,350,0,7,1.9,
tsavas@media.mit.edu~Exp6-Treat1~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,10.67,5.5,2,
tsavas@media.mit.edu~Exp6-Treat2~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,17.45,5.5,2,
tsavas@media.mit.edu~Exp6-Treat3~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,0,5.5,2,
tsavas@media.mit.edu~Exp6-Treat4~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,8.48,5.5,2,
tsavas@media.mit.edu~Exp6-Treat5~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,24,5.5,2,
tsavas@media.mit.edu~Exp6-Treat6~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,0,5.5,2,
tsavas@media.mit.edu~Exp6-Treat7~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,4.12,5.5,2,
tsavas@media.mit.edu~Exp6-Treat8~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,14.06,5.5,2,
tsavas@media.mit.edu~Exp6-Treat9~2016-01-01T00:00:00Z,,,manual,,,24,24,23.9,,60,350,0,5.5,2,
tsavas@media.mit.edu~Exp7-Treat1~2016-01-01T00:00:00Z,,,manual,,25,16,24,23.9,,60,320,0,5.5,2.5,
tsavas@media.mit.edu~Exp7-Treat2~2016-01-01T00:00:00Z,,,manual,,25,16,24,23.9,,60,320,0,5.5,2.5,
tsavas@media.mit.edu~Exp7-Treat3~2016-01-01T00:00:00Z,,,manual,,25,16,24,23.9,,60,320,0,5.5,2.5,
tsavas@media.mit.edu~Exp7-Treat4~2016-01-01T00:00:00Z,,,manual,,25,16,24,23.9,,60,320,0,5.5,2.5,
tsavas@media.mit.edu~Exp7-Treat5~2016-01-01T00:00:00Z,,,manual,,25,16,24,23.9,,60,320,0,5.5,2.5,
tsavas@media.mit.edu~Exp7-Treat6~2016-01-01T00:00:00Z,,,manual,,25,16,24,23.9,,60,320,0,5.5,2.5,
tsavas@media.mit.edu~Exp7-Treat7~2016-01-01T00:00:00Z,,,manual,,28,16,24,23.9,,60,320,0,5.5,2.5,
